,Film,Song,Raga
166,Teen Deviyan,Aise To Na Dekho,Gara
167,Mulzim ,Diwana Kahe Ke Aaj Mujhe Phir Pukariye,Gara
168,Aakhri Daao,Hamsafar Saath Apna Chhod Chale,Gara
169,Gunj Uthi Shehnai,Jivan Men Piya Tera Sath Rahe,Gara
170,Hum Dono,Kabhi Khud Pe Kabhi Haalaath Pe Ronaa Aayaa,Gara
171,Mughal-e-Azam,Mohe Panghat Pe Nandalal Ched Gayo Re,Gara
172,(non-film song),Raghupati Raghav Raja Ram,Gara
173,Guide,Tere Mere Sapne Ab Ek Rang Hain,Gara
174,Laal Pathar,Unke Khayal Aye To Ate Chale Gaye,Gara
175,Malhar,Garajat Barsat Bheejata Ailo,Gaur Malhar
176,Taj Mahal,Jurm-e-Ulfat Pe,Gaur Malhar
177,Ashirvad,Jhir Jhir Barase Savani Ankhiyan,Gaur Malhar
178,Noor Jahan,"Sharabi, Sharabi Ye Savan Ka Mausam",Gaur Malhar
179,Hum Dono,Allah Tero Naam,Gaur Sarang
180,(non-film song),Dairo Haram Men Basne Waalon,Gaur Sarang
181,Aasman,Dekho Jadu Bhare More Naina,Gaur Sarang
182,Ekadashi,Jhula Jhulo Re,Gaur Sarang
183,Chhoti Chhoti Batein,Kuch Aur Zamana,Gaur Sarang
184,Society,Leheron Mein Jhoolun,Gaur Sarang
185,Pardesi,Na Dir Deem,Gaur Sarang
186,Hamdard,Ritu Aye Ritu Jaye,Gaur Sarang
187,(non-film song),Saawan Rut Aaye Dekho Balam,Gaur Sarang
188,Funtoosh,Woh Dekhen To Unki Inayat,Gaur Sarang
189,Kuch Naa Kaho,Baat Meri Suniye To Zara,Gawati
190,Nayak,Chalo Chale Mitwa,Gawati
191,LOC Kargil,Ek Saathi Aur Bhi Tha,Gawati
192,Taal,Kariye Na,Gawati
193,Palki,Dil Ki Kashti,Gorakh Kalyan
194,Delhi-6,Bhor Bhaye,goojari_todi
195,Ashirvad,Ek Tha Bachapan,goojari_todi
196,Lekin,Jaa-Jaa Re Ai Pathikwa,goojari_todi
197,Phool Bane Angare,"Watan Pe Jo Fida Hoga (a.k.a. ""Himala Ki Bulandi Se Suno Aavaaz Hai Aayi"")",goojari_todi
198,Free Love,Ham Kashma Kashe Se Gamse Guzar Kyu nahi Jaate,Gunkali
199,Free Love,Ham Kashma Kashe Se Gamse Guzar Kyu nahi Jaate,Gunkali
200,Kohinoor,Madhuban Men Radhika Nache Re,Hamir
201,Non Film Song,Sur Ki Gati Main Kya Janun,Hamir
202,Parivaar,Ja Tose Nahin Bolun Kanhaiya,Hamsadhwani
203,"Non Film Song ""Chala Vahi Desh""",Karam Ki Gati Nyari,Hamsadhwani
204,Sharda,O Chaand Jahaan Woh Jaaye,Hamsadhwani
